Ladders only,W brackets,Fold height
1986,14286,1380
3578,15878,1380
5171,17471,2110
6763,19063,2110
8355,20655,3140
9947,22247,3140
11539,23839,3870
13132,25432,3870
14724,27024,4900
16316,28616,4900
17908,30208,5630
19500,31800,5630
21093,33393,6660
22685,34985,6660
24277,42727,7390
25869,44319,7390
27461,45911,8420
29054,47504,8420
30646,49096,9150
32238,50688,9150
33830,52280,10180
35422,53872,10180
37015,55465,10910
38607,57057,10910
40199,64799,11940
41791,66391,11940
43383,67983,12670
44976,69576,12670
46568,71168,13700
48160,72760,13700
